Episode,Action Sequence
1,"[2, np.int64(0), np.int64(1), np.int64(0), np.int64(3), np.int64(0), 2, np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(0), np.int64(1), np.int64(0), np.int64(2), np.int64(3), 1, np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(0), np.int64(0), np.int64(1), np.int64(1), 3, np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), 2, np.int64(0), 1, np.int64(1), np.int64(0), 0, np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(3), 3, np.int64(3), np.int64(2), np.int64(1), 2, np.int64(1), np.int64(0), np.int64(2), 3, np.int64(3), np.int64(1), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(3), 1, np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(3), np.int64(3), np.int64(1), np.int64(2), np.int64(3), np.int64(3), 3]"
2,"[np.int64(2), np.int64(0), np.int64(1), np.int64(3), np.int64(3), np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(3), np.int64(2), np.int64(2), 1, np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1)]"
3,"[np.int64(3), np.int64(1), np.int64(1), 0, np.int64(0), np.int64(0), np.int64(2), np.int64(2), np.int64(0), 1, np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), 2, np.int64(3), np.int64(2), np.int64(0), 2, np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(1), 2, np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1), np.int64(3), np.int64(3), np.int64(0), np.int64(0), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(3)]"
4,"[np.int64(0), np.int64(0), np.int64(3), np.int64(0), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3)]"
5,"[np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]"
6,"[np.int64(1), np.int64(3), 0, np.int64(1), np.int64(1), np.int64(3), 2, np.int64(1), np.int64(2), np.int64(0), np.int64(2), np.int64(3), np.int64(0), 0, np.int64(0), np.int64(2), np.int64(2), np.int64(0), np.int64(3), np.int64(3), np.int64(0), np.int64(2), 2, np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(3), np.int64(1), np.int64(3), 2, np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(1), np.int64(3), np.int64(1), 1, np.int64(3), np.int64(3)]"
7,"[np.int64(1), np.int64(0), np.int64(3), np.int64(0), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(2), np.int64(3), 3, np.int64(1), 0, 1, np.int64(1)]"
8,"[np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(0), np.int64(3), 3, np.int64(1), np.int64(3), np.int64(3)]"
9,"[2, np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3)]"
10,"[np.int64(0), np.int64(1), np.int64(3), np.int64(2), np.int64(2), np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(0), 1, 3, np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(3)]"
11,"[np.int64(3), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(3), np.int64(1), np.int64(1), 3, np.int64(3)]"
12,"[np.int64(1), 0, np.int64(3), np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(1), np.int64(3), np.int64(0), np.int64(3), np.int64(3), np.int64(0), np.int64(2), np.int64(1), np.int64(1), 0, 0, np.int64(0), np.int64(3), np.int64(3), np.int64(0), 1, np.int64(1), np.int64(1), np.int64(1)]"
13,"[np.int64(3), np.int64(0), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]"
14,"[np.int64(0), np.int64(1), np.int64(2), 3, np.int64(1), np.int64(0), np.int64(3), np.int64(3), np.int64(0), np.int64(1), 0, np.int64(0), np.int64(3), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]"
15,"[np.int64(3), np.int64(3), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(2), np.int64(0), np.int64(2), np.int64(1), np.int64(3), 3, np.int64(1), np.int64(3), np.int64(3)]"
16,"[np.int64(1), np.int64(2), np.int64(0), np.int64(2), np.int64(0), np.int64(3), np.int64(0), np.int64(2), np.int64(1), 1, np.int64(0), np.int64(3), np.int64(0), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(3), 1, 3]"
17,"[np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3)]"
18,"[np.int64(0), np.int64(2), np.int64(3), 3, np.int64(3), np.int64(2), np.int64(1), 3, np.int64(3), np.int64(1), np.int64(1), np.int64(1)]"
19,"[np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3)]"
